classe;admissible;terme;commentaire;source;privilegie;page;ligne_page
1;;résidus du traitement des grains de céréales à usage industriel;;OMPI;;2;86
1;;fluides frigorigènes;;OMPI;;2;87
1;;radium à usage scientifique;;OMPI;;2;88
1;;radon;;OMPI;;2;89
1;;éléments radioactifs à usage scientifique;;OMPI;;2;90
1;;résines artificielles à l'état brut;;OMPI;;2;91
1;;résines synthétiques à l'état brut;;OMPI;;2;92
1;;quebracho à usage industriel;;OMPI;;2;93
1;;acide pyrogallique;;OMPI;;2;94
1;;protéine (matière première);;OMPI;;2;95
1;;protactinium;;OMPI;;2;96
1;;prométhium;;OMPI;;2;97
1;;praséodyme;;OMPI;;2;98
1;;eaux potassiques;;OMPI;;2;99
1;;potassium;;OMPI;;2;100
1;;potasse;;OMPI;;3;1
1;;pots en tourbe pour l'horticulture;;OMPI;;3;2
1;;farine de pommes de terre à usage industriel;;OMPI;;3;3
1;;polonium;;OMPI;;3;4
1;;plutonium;;OMPI;;3;5
1;;oxyde de plomb;;OMPI;;3;6
1;;acétate de plomb;;OMPI;;3;7
1;;plastisols;;OMPI;;3;8
1;;matières plastiques à l'état brut;;OMPI;;3;9
1;;acide picrique;;OMPI;;3;10
1;;sensibilisateurs photographiques;;OMPI;;3;11
1;;révélateurs photographiques;;OMPI;;3;12
1;;tissu pour photocalques;;OMPI;;3;13
1;;acide phosphorique;;OMPI;;3;14
1;;papier pour photocalques;;OMPI;;3;15
1;;superphosphates (engrais);;OMPI;;3;16
1;;phosphore;;OMPI;;3;17
1;;phosphatides;;OMPI;;3;18
1;;scories (engrais);;OMPI;;3;19
1;;phosphates (engrais);;OMPI;;3;20
1;;phénol à usage industriel;;OMPI;;3;21
1;;acide persulfurique;;OMPI;;3;22
1;;persulfates;;OMPI;;3;23
1;;perchlorates;;OMPI;;3;24
1;;percarbonates;;OMPI;;3;25
1;;perborate de soude;;OMPI;;3;26
1;;pectine à usage photographique;;OMPI;;3;27
1;;papier de tournesol;;OMPI;;3;28
1;;papier sensible;;OMPI;;3;29
1;;papier photométrique;;OMPI;;3;30
1;;papier nitré;;OMPI;;3;31
1;;chlorure de palladium;;OMPI;;3;32
1;;oxygène à usage industriel;;OMPI;;3;33
1;;acide oxalique;;OMPI;;3;34
1;;oxalates;;OMPI;;3;35
1;;sel d'oseille;;OMPI;;3;36
1;;sels d'or;;OMPI;;3;37
1;;acide oléique;;OMPI;;3;38
1;;plaques sensibilisées pour offset;;OMPI;;3;39
1;;nitrate d'uranium;;OMPI;;3;40
1;;préparations chimiques de prophylaxie de la nielle;;OMPI;;3;41
1;;neutralisants de gaz toxiques;;OMPI;;3;42
1;;neptunium;;OMPI;;3;43
1;;néon;;OMPI;;3;44
1;;néodyme;;OMPI;;3;45
1;;naphtalène;;OMPI;;3;46
1;;produits de mouillage (teinturerie);;OMPI;;3;47
